phylum	genus	genus_tax_id
Proteobacteria	Thermomonas	141948
Proteobacteria	Candidatus_Fukatsuia	1927833
Firmicutes	Fervidicella	1403538
Actinobacteria	Brachybacterium	43668
Proteobacteria	Candidatus_Symbiobacter	1436289
Proteobacteria	Franconibacter	1649295
Proteobacteria	Halothiobacillus	109262
Proteobacteria	Endozoicomonas	305899
Firmicutes	Anaerovorax	109326
Proteobacteria	Cedecea	158483
Proteobacteria	Melaminivora	1649468
Firmicutes	Hungatella	1649459
Proteobacteria	Pusillimonas	305976
Firmicutes	Turicibacter	191303
Bacteroidetes	Seonamhaeicola	1649495
Bacteroidetes	Pseudopedobacter	1649482
Proteobacteria	Ramlibacter	174951
Proteobacteria	Candidatus_Glomeribacter	224135
Spirochaetes	Salinispira	1616789
Proteobacteria	Tolumonas	43947
Firmicutes	Johnsonella	43994
Firmicutes	Catonella	43996
Firmicutes	Caldicellulosiruptor	44000
Proteobacteria	Ferrimonas	44011
Proteobacteria	Polynucleobacter	44013
Bacteroidetes	Myroides	76831
Proteobacteria	Pandoraea	93217
Proteobacteria	Pseudogulbenkiania	568394
Proteobacteria	Asticcacaulis	76890
Firmicutes	Megamonas	158846
Proteobacteria	Trabulsiella	158851
	Candidatus_Babela	1551504
Proteobacteria	Yokenella	158876
Firmicutes	Paenibacillus	44249
Bacteroidetes	Joostella	453850
Firmicutes	Caloramator	44258
Firmicutes	Moorella	44260
Bacteroidetes	Aquimarina	290174
Actinobacteria	Cutibacterium	1912216
Firmicutes	Lachnospira	28050
Proteobacteria	Rhodoferax	28065
Proteobacteria	Rubrivivax	28067
Cyanobacteria	Lyngbya	28073
Proteobacteria	Phyllobacterium	28100
Proteobacteria	Sinorhizobium	28105
Bacteroidetes	Rikenella	28138
Proteobacteria	Roseateles	93681
Proteobacteria	Chelatococcus	28209
Proteobacteria	Brachymonas	28219
Deinococcus-Thermus	Oceanithermus	208447
Bacteroidetes	Ornithobacterium	28250
Proteobacteria	Marinomonas	28253
Proteobacteria	Advenella	290425
Proteobacteria	Candidatus_Regiella	568988
Bacteroidetes	Solitalea	929509
Proteobacteria	Kerstersia	257820
Bacteroidetes	Sphingobacterium	28453
Firmicutes	Traorella	1929045
Proteobacteria	Dokdonella	323413
Bacteroidetes	Salegentibacter	143222
Firmicutes	Pseudobacteroides	1486726
Firmicutes	Candidatus_Stoquefichus	1470349
Proteobacteria	Shinella	323620
Firmicutes	Jeotgalibaca	1470540
Bacteroidetes	Macellibacteroides	1159323
Proteobacteria	Pseudovibrio	258255
Proteobacteria	Methyloferula	1143004
Proteobacteria	Methylopila	61653
Bacteroidetes	Saccharicrinis	1618113
Firmicutes	Thermoanaerobacterium	28895
Actinobacteria	Haloglycomyces	651553
Actinobacteria	Leifsonia	110932
Actinobacteria	Agreia	110934
Bacteroidetes	Lacinutrix	291183
Bacteroidetes	Petrimonas	307628
Actinobacteria	Lawsonella	1847725
Proteobacteria	Alishewanella	111142
Bacteroidetes	Formosa	225842
Firmicutes	Halobacillus	45667
Firmicutes	Salinicoccus	45669
Proteobacteria	Acidovorax	12916
Firmicutes	Alicyclobacillus	29330
Proteobacteria	Azoarcus	12960
Proteobacteria	Rhodoplanes	29407
Firmicutes	Peptoanaerobacter	1913599
Firmicutes	Veillonella	29465
Proteobacteria	Photorhabdus	29487
Actinobacteria	Turicella	144193
Proteobacteria	Magnetospirillum	13134
Proteobacteria	Taylorella	29574
Proteobacteria	Janthinobacterium	29580
Proteobacteria	Raoultella	160674
Proteobacteria	Luteibacter	242605
Bacteroidetes	Draconibacterium	1471399
Actinobacteria	Herbiconiux	881616
Firmicutes	Pseudobutyrivibrio	46205
Firmicutes	Thermosediminibacter	291988
Firmicutes	Weissella	46255
Bacteroidetes	Anaerophaga	177399
Firmicutes	Desulfosporosinus	79206
Proteobacteria	Sphingomonas	13687
Bacteroidetes	Mucilaginibacter	423349
Actinobacteria	Devriesea	472568
Proteobacteria	Gilliamella	1193503
Bacteroidetes	Lutibacter	358023
Proteobacteria	Avibacterium	292486
Bacteroidetes	Elizabethkingia	308865
Firmicutes	Geosporobacter	390805
Bacteroidetes	Millionella	1980038
Actinobacteria	Denitrobacterium	79603
Firmicutes	Subdoligranulum	292632
Firmicutes	Shuttleworthia	177971
Proteobacteria	Devosia	46913
Actinobacteria	Actinocatenispora	390988
Proteobacteria	Basilea	1472344
Bacteroidetes	Gramella	292691
Proteobacteria	Silanimonas	292713
Firmicutes	Fervidicola	555078
Firmicutes	Dielma	1472649
Proteobacteria	Oblitimonas	1849530
Actinobacteria	Frigoribacterium	96492
Firmicutes	Propionispora	112902
Bacteroidetes	Arenibacter	178469
Firmicutes	Geobacillus	129337
Proteobacteria	Hydrogenophaga	47420
Firmicutes	Terrisporobacter	1505652
Firmicutes	Erysipelatoclostridium	1505663
Firmicutes	Intestinibacter	1505657
Bacteroidetes	Marinifilum	866673
Firmicutes	Gottschalkia	1505664
Firmicutes	Anaerotruncus	244127
Firmicutes	Paraclostridium	1849822
Firmicutes	Peptoniphilus	162289
Firmicutes	Paeniclostridium	1849828
Bacteroidetes	Parabacteroides	375288
Proteobacteria	Candidatus_Schmidhempelia	1505768
Proteobacteria	Pannonibacter	227873
Proteobacteria	Oceanimonas	129577
Proteobacteria	Lautropia	47670
Firmicutes	Fusicatenibacter	1407607
Proteobacteria	Mailhella	1981028
Bacteroidetes	Mangrovimonas	1211036
Actinobacteria	Senegalimassilia	1473205
Bacteroidetes	Dokdonia	326319
Actinobacteria	Oerskovia	162491
Proteobacteria	Thermosulfurimonas	1522431
Proteobacteria	Aquincola	391952
Proteobacteria	Ruegeria	97050
Firmicutes	Robinsoniella	588605
Proteobacteria	Lacimicrobium	1751872
Firmicutes	Mageeibacillus	1637257
Proteobacteria	Castellaniella	359336
Bacteroidetes	Gillisia	244698
Proteobacteria	Delftia	80865
Proteobacteria	Methylotenera	359407
Bacteroidetes	Fermentimonas	1784836
Actinobacteria	Streptacidiphilus	228398
Firmicutes	Blautia	572511
Proteobacteria	Pseudolabrys	556257
Firmicutes	Lachnoclostridium	1506553
Firmicutes	Kyrpidia	1129704
Firmicutes	Tyzzerella	1506577
Proteobacteria	Burkholderia	32008
Proteobacteria	Thiomonas	32012
Fusobacteria	Leptotrichia	32067
Bacteroidetes	Tannerella	195950
Actinobacteria	Asanoa	195964
Proteobacteria	Caldimonas	196013
Actinobacteria	Rothia	32207
Actinobacteria	Parascardovia	196082
Actinobacteria	Scardovia	196081
Proteobacteria	Candidatus_Accumulibacter	327159
Proteobacteria	Azospira	146937
Proteobacteria	Paraglaciecola	1621534
Proteobacteria	Mitsuaria	65047
Proteobacteria	Tepidimonas	114248
Proteobacteria	Ralstonia	48736
Bacteroidetes	Algibacter	261827
Proteobacteria	Shimia	573139
Proteobacteria	Rhizobacter	212743
Firmicutes	Intestinimonas	1392389
Proteobacteria	Methylovorus	81682
Bacteroidetes	Tamlana	393005
Bacteroidetes	Proteiniphilum	294702
Proteobacteria	Enhydrobacter	212791
Proteobacteria	Kangiella	261963
Halanaerobiaeota	Halothermothrix	32636
Firmicutes	Candidatus_Arthromitus	49082
Firmicutes	Alkaliphilus	114627
Proteobacteria	Prosthecomicrobium	81894
Actinobacteria	Actinotalea	458839
Proteobacteria	Hyphomicrobium	81
Proteobacteria	Hyphomonas	85
Spirochaetes	Leptospira	171
Proteobacteria	Azospirillum	191
Proteobacteria	Alteromonas	226
Proteobacteria	Brucella	234
Verrucomicrobia	Pedosphaera	1032526
Proteobacteria	Psychrobacter	497
Proteobacteria	Rubellimicrobium	295418
Proteobacteria	Chromobacterium	535
Proteobacteria	Eikenella	538
Proteobacteria	Zymomonas	541
Synergistetes	Cloacibacillus	508459
Proteobacteria	Hafnia	568
Proteobacteria	Bartonella	773
Proteobacteria	Nitrosomonas	914
Proteobacteria	Thiobacillus	919
Proteobacteria	Thiomicrospira	933
Proteobacteria	Ehrlichia	943
Proteobacteria	Wolbachia	953
Proteobacteria	Rhodobacter	1060
Cyanobacteria	Synechococcus	1129
Cyanobacteria	Spirulina	1154
Cyanobacteria	Oscillatoria	1158
Cyanobacteria	Anabaena	1163
Cyanobacteria	Nostoc	1177
Firmicutes	Melissococcus	33969
Cyanobacteria	Scytonema	1203
Cyanobacteria	Prochlorococcus	1218
Nitrospirae	Nitrospira	1234
Proteobacteria	Liberibacter	34019
Proteobacteria	Rhodocista	34023
Firmicutes	Facklamia	66831
Cyanobacteria	Limnothrix	132605
Proteobacteria	Acidisphaera	50714
Proteobacteria	Pelagibacterium	1082930
Proteobacteria	Neorhizobium	1525371
Firmicutes	Gorillibacterium	1689250
Actinobacteria	Saccharomonospora	1851
Firmicutes	Anaerococcus	165779
Actinobacteria	Tropheryma	2038
Firmicutes	Syntrophobotulus	51196
Tenericutes	Mycoplasma	2093
Tenericutes	Ureaplasma	2129
Proteobacteria	Desulfosarcina	2299
Proteobacteria	Sandarakinorhabdus	362865
Firmicutes	Tetragenococcus	51668
