file_id	file_name	aliquot_barcode
95ffede8-754c-4976-950b-80aa20246b2c	9ce65391-0a43-4d49-8f2e-94c766902798_gdc_realn_rehead.bam	TCGA-AG-A016-01A-01R-A002-07
da3b4416-7085-46b7-b4d4-3975e26b5642	69446357-14d1-4c73-b3cb-bf950061e2bc_gdc_realn_rehead.bam	TCGA-EI-6511-01A-11R-1736-07
aa809451-5906-41f5-bb0d-0466ed72b0b4	3295dde5-ea56-424e-a0d0-ff46c7d1d15f_gdc_realn_rehead.bam	TCGA-F5-6864-01A-11R-1928-07
6adf4dcf-f013-43a4-b726-dbb03f7f49f0	5dd9a18d-62b9-4f5d-8478-952b1bf93f8c_gdc_realn_rehead.bam	TCGA-F5-6863-01A-11R-1928-07
c50034fe-06ec-4192-9be2-b156a549d90a	7eb904d1-fe99-41de-8ffc-bd34095690d0_gdc_realn_rehead.bam	TCGA-AG-A032-01A-01R-A00A-07
06826880-3e73-4e50-ba02-5d7f09418a40	2e928811-ef22-432f-a4b7-ddb948312972_gdc_realn_rehead.bam	TCGA-AG-3574-01A-01R-0821-07
9a2bfae6-4e26-4779-8139-f9599818d272	39a45fdc-a702-47d0-8655-9547700a5950_gdc_realn_rehead.bam	TCGA-AG-3890-01A-01R-1119-07
21d5d6ba-5ea4-40d9-a867-130ae5336490	979f6fc5-823a-4464-8e8b-1f43f8fde6c9_gdc_realn_rehead.bam	TCGA-G5-6233-01A-11R-1736-07
cc0c27bf-60da-4112-bee6-4b7046f2bbb8	4214ed45-d0d5-4eb0-91a0-ec6276d9e46c_gdc_realn_rehead.bam	TCGA-AG-A01L-01A-01R-A002-07
13b3bddc-29b1-4c3d-95b7-8d8e21b2ad3d	ab816440-a235-40e6-a0f9-da691a78b687_gdc_realn_rehead.bam	TCGA-DC-5337-01A-01R-1660-07
c99ce566-0135-4c12-b548-56f4bfb33e56	b335953b-3e37-4060-8fb2-77363f91681c_gdc_realn_rehead.bam	TCGA-AG-3598-01A-01R-0826-07
